A̱o,Trimestre,Ingresos (miles de pesos),Ingresos (miles de dolares),Fecha
2023,4,16737601480.0,37879608.90103128,2023-10-01
2023,3,13310659341.0,42785571.04306059,2023-07-01
2023,2,11806028028.0,51036294.53000187,2023-04-01
2023,1,10413500000.0,54434126.26090634,2023-01-01
2022,4,7244348299.0,44963276.9912548,2022-10-01
2022,3,6408678433.0,47700122.68381546,2022-07-01
2022,2,6041950062.0,51737394.86608013,2022-04-01
2022,1,5521931301.0,52255671.1689203,2022-01-01
2021,4,4546788717.0,45591561.88019367,2021-10-01
2021,3,4299994429.0,44605910.397113055,2021-07-01
2021,2,3823966663.0,40975622.61022564,2021-04-01
2021,1,3667637136.0,41722364.52398752,2021-01-01
2020,4,3353970272.0,42313106.48975509,2020-10-01
2020,3,3199744453.0,44144177.40609909,2020-07-01
2020,2,3210247599.0,49144353.57834386,2020-04-01
2020,1,2994621645.0,50773846.01889133,2020-01-01
2019,4,2416925070.0,41904341.2301568,2019-10-01
2019,3,2165274844.0,44262264.36592892,2019-07-01
2019,2,2074311769.0,48222872.60209363,2019-04-01
2019,1,2020741377.0,53064339.61330883,2019-01-01
2018,4,1663768659.0,45965474.68705033,2018-10-01
2018,3,1541098069.0,49085164.08557443,2018-07-01
2018,2,1431946746.0,61656022.92380404,2018-04-01
2018,1,1317145923.0,67699113.64608498,2018-01-01
2017,4,1122612739.0,64613408.252418794,2017-10-01
2017,3,1006599786.0,58856825.98228879,2017-07-01
2017,2,967864693.0,62001112.77871394,2017-04-01
2017,1,870120142.0,55917709.29086358,2017-01-01
2016,4,748398039.0,48849217.412565336,2016-10-01
2016,3,691244154.0,46599911.3667246,2016-07-01
2016,2,653424060.0,46228754.59865075,2016-04-01
2016,1,593684489.0,41410283.06153959,2016-01-01
2015,4,537689921.0,53271132.7340751,2015-10-01
2015,3,515373888.0,55966622.26520743,2015-07-01
2015,2,470179072.0,52809168.37812209,2015-04-01
2015,1,487638532.0,56461797.21328204,2015-01-01
2014,4,395044078.0,46698562.96978689,2014-10-01
2014,3,347863774.0,42177128.31627047,2014-07-01
2014,2,327081620.0,40847700.08569718,2014-04-01
2014,1,298405421.0,39524071.32040318,2014-01-01
